case,truth,truth_pattern,verdict,p0,p1,pattern,request
CC-5214,fraud,card_not_present_fraud,legitimate,0.31,0.09,none,True
CC-4775,fraud,out_of_region_use,legitimate,0.28,0.08,none,True
CC-3529,fraud,account_takeover,fraud,0.82,0.95,account_takeover,True
CC-5225,fraud,account_takeover,legitimate,0.13,0.04,none,True
CC-3939,fraud,out_of_region_use,legitimate,0.33,0.1,none,True
CC-4812,fraud,card_not_present_fraud,uncertain,0.5,0.5,card_not_present_new_device,True
CC-3632,fraud,card_not_present_new_device,fraud,0.75,0.93,card_not_present_fraud,True
CC-5344,fraud,card_not_present_fraud,uncertain,0.44,0.44,card_not_present_new_device,True
CC-4481,fraud,out_of_region_use,uncertain,0.4,0.4,account_takeover,True
CC-4447,fraud,account_takeover,fraud,0.89,0.97,account_takeover,True
CC-3799,fraud,account_takeover,uncertain,0.36,0.36,out_of_region_use,True
CC-5248,fraud,account_takeover,legitimate,0.32,0.1,none,True
CC-5491,fraud,card_not_present_fraud,uncertain,0.4,0.4,card_not_present_fraud,True
CC-3689,fraud,card_not_present_fraud,legitimate,0.33,0.1,none,True
CC-4037,fraud,card_not_present_new_device,legitimate,0.14,0.04,none,True
CC-4518,fraud,out_of_region_use,fraud,0.65,0.9,out_of_region_use,True
CC-5119,fraud,out_of_region_use,legitimate,0.31,0.09,none,True
CC-3984,fraud,card_not_present_fraud,fraud,0.8,0.9,card_not_present_new_device,True
CC-4980,fraud,card_not_present_new_device,legitimate,0.15,0.04,none,True
CC-4854,fraud,out_of_region_use,legitimate,0.12,0.04,none,True
CC-4305,fraud,card_not_present_new_device,legitimate,0.11,0.11,none,False
CC-5032,fraud,out_of_region_use,fraud,0.89,0.97,out_of_region_use,True
CC-3716,fraud,out_of_region_use,uncertain,0.36,0.36,out_of_region_use,True
CC-3553,fraud,card_not_present_new_device,uncertain,0.41,0.41,card_not_present_new_device,True
CC-4265,fraud,out_of_region_use,uncertain,0.47,0.47,out_of_region_use,True
CC-3921,fraud,card_not_present_new_device,legitimate,0.08,0.08,none,False
CC-4019,fraud,account_takeover,uncertain,0.51,0.51,out_of_region_use,True
CC-4800,fraud,card_not_present_new_device,fraud,0.99,0.99,card_testing,False
CC-5370,fraud,card_not_present_new_device,fraud,0.95,0.95,card_not_present_new_device,False
CC-4218,fraud,card_not_present_new_device,legitimate,0.35,0.1,none,True
CC-5312,fraud,card_not_present_fraud,fraud,0.95,0.95,card_not_present_fraud,False
CC-3882,fraud,card_not_present_new_device,legitimate,0.18,0.05,none,True
CC-3818,fraud,card_not_present_fraud,legitimate,0.24,0.07,none,True
CC-4696,fraud,out_of_region_use,legitimate,0.29,0.09,none,True
CC-4284,fraud,account_takeover,legitimate,0.34,0.1,none,True
CC-5436,fraud,out_of_region_use,fraud,0.88,0.96,out_of_region_use,True
CC-5353,fraud,out_of_region_use,legitimate,0.27,0.08,none,True
CC-5414,fraud,card_not_present_fraud,fraud,0.94,0.94,card_not_present_new_device,False
CC-4563,fraud,card_not_present_new_device,legitimate,0.12,0.12,none,False
CC-4873,fraud,card_not_present_fraud,fraud,0.89,0.89,card_not_present_fraud,False
CC-3942,fraud,account_takeover,fraud,0.84,0.95,out_of_region_use,True
CC-4606,fraud,card_not_present_new_device,legitimate,0.12,0.04,none,True
CC-3865,fraud,account_takeover,fraud,0.87,0.96,account_takeover,True
CC-4065,fraud,card_not_present_new_device,fraud,0.99,0.99,card_not_present_new_device,True
CC-4908,fraud,card_not_present_new_device,legitimate,0.11,0.03,none,True
CC-4836,fraud,out_of_region_use,uncertain,0.5,0.5,out_of_region_use,True
CC-3890,fraud,card_not_present_fraud,uncertain,0.42,0.42,card_not_present_new_device,True
CC-3922,fraud,card_not_present_fraud,uncertain,0.38,0.38,card_not_present_new_device,True
CC-5075,fraud,card_not_present_new_device,fraud,0.92,0.92,card_not_present_new_device,False
CC-5367,fraud,out_of_region_use,fraud,0.66,0.9,out_of_region_use,True
CC-5317,fraud,account_takeover,fraud,0.91,0.97,account_takeover,True
CC-4113,fraud,card_not_present_fraud,uncertain,0.36,0.36,card_not_present_new_device,True
CC-5127,fraud,out_of_region_use,fraud,0.92,0.98,out_of_region_use,True
CC-5427,fraud,out_of_region_use,legitimate,0.15,0.04,none,True
CC-4803,fraud,account_takeover,uncertain,0.46,0.46,out_of_region_use,True
CC-4382,fraud,card_not_present_fraud,fraud,0.89,0.9,card_not_present_new_device,True
CC-5067,fraud,account_takeover,legitimate,0.28,0.08,none,True
CC-5456,fraud,card_not_present_fraud,fraud,0.89,0.9,card_not_present_new_device,True
CC-5231,fraud,card_not_present_new_device,legitimate,0.18,0.05,none,True
CC-4755,fraud,out_of_region_use,legitimate,0.29,0.09,none,True
CC-3893,fraud,card_not_present_new_device,legitimate,0.1,0.03,none,True
CC-5474,fraud,card_not_present_fraud,fraud,0.94,0.94,card_not_present_new_device,False
CC-4747,fraud,out_of_region_use,fraud,0.83,0.95,out_of_region_use,True
CC-3900,fraud,account_takeover,fraud,0.87,0.96,account_takeover,True
CC-4639,fraud,card_not_present_fraud,uncertain,0.36,0.36,card_not_present_new_device,True
CC-5102,fraud,card_not_present_new_device,legitimate,0.2,0.06,none,True
CC-4452,fraud,out_of_region_use,uncertain,0.49,0.49,out_of_region_use,True
CC-5065,fraud,card_not_present_fraud,legitimate,0.32,0.1,none,True
